,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
2599,The Ken,2016,Bangalore,Media and Entertainment,The Ken is India’s first subscriptions-only business news site, Times Internet,1500000.0,Series A,2018
2600,SaffronStays,2016,Mumbai,Others,SaffronStays connects travellers to India's Incredible hosts.,Inflection Point Ventures,2000000.0,Seed,2018
2601,Vebbler,2016,Bangalore,Technology,A personal network for close people,Inflection Point Ventures,3000000.0,Seed,2018
2602,Foyr,2016,Pune,Real Estate,"Foyr.com is India's first online, automated interior designer", JSW Ventures,4200000.0,Series A,2018
2603,MEngage,2016,Jaipur,Health,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,Sequoia,175000.0,Seed,2018
2604,Inner Being Wellness,2016,Hyderabad,Others,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",Inflection Point Ventures,512715.0,Angel,2018
2605,Kobster,2016,Chennai,Commerce,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,Inflection Point Ventures,3000000.0,Seed,2018
2606,Wishberry,2016,Mumbai,Crowdfunding,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,Unknown,1464900.0,Series A,2018
2607,McXtra,2016,Andheri,Finance,McXtra is a digital insurance broking startup.,Venture Catalysts,1300000.0,Seed,2018
2608,Magic Crate,2016,Bangalore,Children,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",Unknown,3000000.0,Seed,2018
2609,SmartVizX,2016,Noida,Technology,It is a Virtual Reality Solutions StartUp,Inflection Point Ventures,1450000.0,Seed,2018
2610,MySEODoc,2016,Delhi,Others,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",Inflection Point Ventures,3000000.0,Seed,2018
2611,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,2016,Pune,Others,Digital Marketing Agency,Inflection Point Ventures,2929.8,Seed,2018
2612,Scale Labs,2016,Delhi,Others,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,Inflection Point Ventures,1000000.0,Seed,2018
2613,HungerBox,2016,Bangalore,Commerce,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,Inflection Point Ventures,4500000.0,Series A,2018
2614,Biryani By Kilo,2016,Noida,Food & Beverage,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,Coatue Management,1000000.0,Seed,2018
2615,Wholesome Habits (EAT Anytime),2016,Mumbai,Food & Beverage,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,Coatue Management,500000.0,Seed,2018
2616,GoBumpr,2016,Mylapore,Transport,Car Service and Bike Service Mobile App,CDC Group,600000.0,Seed,2018
2617,Fixpocket,2016,Ahmedabad,Technology,Fixpocket is a internet-based startup.,Inflection Point Ventures,250000.0,Seed,2018
2618,edureka!,2016,Bangalore,Technology,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",Inflection Point Ventures,2000000.0,Series A,2018
2619,Hashtag Loyalty Private Limited,2016,Mumbai,Business Intelligence,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,Titan Capital,3000000.0,Seed,2018
2620,Wow Express,2016,Mumbai,Delivery,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.", Evolvence India Fund,4500000.0,Series A,2018
2621,ZunRoof,2016,Gurgaon,Business Intelligence,ZunRoof is a rooftop focused solar startup.,Titan Capital,243173.40000000002,Angel,2018
2622,Eggoz,2016,Indore,Food & Beverage,Eggoz is a full-stack layer poultry business operator & service provider .,Coatue Management,175788.0,Angel,2018
2623,Sqrrl Fintech,2016,Gurgaon,Big,Personal Finance,Unknown,1000000.0,Seed,2018
2624,GalaxyCard,2016,Noida,Finance,GalaxyCard is a mobile based Instant credit card.,Venture Catalysts,3000000.0,Seed,2018
2625,IndiQube,2016,Bangalore,Commerce,IndiQube is a provider of co-working spaces based in Bengaluru.,Inflection Point Ventures,15000000.0,Series A,2018
2626,EGK Foods,2016,Mumbai,Food & Beverage,A food processing enterprise registered with StartUp India .,Coatue Management,292980.0,Seed,2018
2627,NirogStreet,2016,Gurgaon,Technology,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Inflection Point Ventures,300000.0,Seed,2018
