,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
1260,ChefKart,2020,Gurugram,Commerce,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.", Pravega Ventures,300000.0,Pre-seed,2021
1261,Fashinza,2020,Gurugram,Beauty and Fashion,A new-age supply chain and product development platform for the fashion industry., Elevation Capital,20000000.0,Series A,2021
1262,Fabheads,2015,Chennai,Agriculture,Fabheads is a hardware startup creating automation equipment to manufacture high-end carbon fiber parts., Bliss Flow Investments Pvt Ltd,3000000.0,Pre-series A,2021
1263,QuickShift,2016,Pune,Transport,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support", Axilor Ventures,770000.0,Seed,2021
1264,StackBOX,2016,Bangalore,Transport,DISTRIBUTION SIMPLIFIED, CMM group,1200000.0,Venture - Series Unknown,2021
1265,MedPrime Technologies,2014,Thane,Technology,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.", Social Alpha,3000000.0,Seed,2021
1266,Infra.Market,2016,Thane,Real Estate,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,Tiger Global,125000000.0,Series D,2021
1267,CollegeDekho,2015,Gurgaon,Technology,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals", QIC,35000000.0,Series B,2021
1268,Box8,2012,Food & Beverages,Others,India's Largest Desi Meals Brand,Tiger Global,40000000.0,Venture - Series Unknown,2021
1269,Simpl,2015,Bangalore,Commerce,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards", IA Ventures,40000000.0,Series B,2021
1270,8i Ventures,2018,Mumbai,Finance,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,Venture Catalysts,50000000.0,Venture - Series Unknown,2021
1271,PayGlocal,2021,Bangalore,Financial,PayGlocal is a FinTech solving for global payments acceptance,Sequoia Capital India,4900000.0,Series A,2021
1272,CureFit,2016,Bangalore,Health,Tata Digital-backed Curefit,Zomato,145000000.0,Venture - Series Unknown,2021
1273,Pocket FM,2018,Bangalore,Media and Entertainment,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.", Tanglin Venture Partners,22000000.0,Series B,2021
1274,CHARGE+ZONE,2018,Vadodara,Transport,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,Venture Catalysts,10000000.0,Venture - Series Unknown,2021
1275,PlanetSpark,2017,Gurugram,Education,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years, Shirish Nadkarni,13000000.0,Series B,2021
1276,LenDenClub,2015,Mumbai,Financial,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors., Artha Venture Fund,10000000.0,Series A,2021
1277,CometChat,2009,Mumbai,Technology,"Voice, video & text chat SDKs, APIs & Plugins for Developers.",Signal Peak Ventures,10000000.0,Series A,2021
1278,AgroStar,2013,Pune,Agriculture,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.", Hero Enterprise,70000000.0,Series D,2021
1279,Bizongo,2015,Information Technology & Services,Others,Bizongo is India’s largest B2B platform for made-to-order products.,Tiger Global,100000000.0,Series D,2021
1280,Probus Insurance,2002,Mumbai,Finance,Probus Insurance is a leading InsurTech platform in India.,BlueOrchard Impact Investment Managers,6700000.0,Venture - Series Unknown,2021
1281,MoEngage,2014,Bangalore,Technology,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,Steadview Capital,30000000.0,Series D,2021
1282,CloudSEK,2015,Bangalore,Technology,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,MassMutual Ventures,7000000.0,Series A,2021
1283,Exponent Energy,2020,Bangalore,Transport,Simplifying energy for EVs by building a Flexible Energy Stack.,YourNest VC,5000000.0,Pre-series A,2021
1284,Trinkerr,2021,Bangalore,Capital,Trinkerr is India's first social trading platform.,Accel India,6600000.0,Series A,2021
1285,Zorro,2021,Gurugram,Social,Pseudonymous social network platform, Ankiti Bose,32000000.0,Seed,2021
1286,Ultraviolette,2021,Bangalore,Transport,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation., Zoho,150000000.0,Series C,2021
1287,NephroPlus,2009,Hyderabad,Hospitality,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",IIFL Asset Management,24000000.0,Series E,2021
1288,Unremot,2020,Information Technology & Services,Others,Unremot is a personal office for consultants!,Inflection Point Ventures,700000.0,Seed,2021
1289,FanAnywhere,2021,Bangalore,Financial,Celebrity NFT platform, DeltaHub Capital,3000000.0,Seed,2021
1290,PingoLearn,2021,Pune,Technology,PingoLearn offers language learning courses with snackable videos., AngelList Syndicate,200000.0,Venture - Series Unknown,2021
1291,Spry,2021,Mumbai,Media and Entertainment,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS, Ashneer Grover,1500000.0,Seed,2021
1292,Enmovil,2015,Information Technology & Services,Others,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,Anicut Angel Fund,1300000.0,Pre-series A,2021
1293,ASQI Advisors,2019,Mumbai,Financial,Bringing Blockchain technology intro mainstream finance!,Founders Room Capital,1000000.0,Pre-series A,2021
1294,Insurance Samadhan,2018,New Delhi,Finance,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances., ZNL,725000.0,Pre-series A,2021
1295,Evenflow Brands,2020,Mumbai,Commerce,Identify and partner with the upcoming eCommerce-1st brands that sell on marketplaces and have a successful track record of positive reviews & ratings,Inflection Point Ventures,500000.0,Venture - Series Unknown,2021
1296,MasterChow,2020,Food & Beverages,Real Estate,A ready-to-cook Asian cuisine brand,WEH Ventures,461000.0,Seed,2021
1297,Fullife Healthcare,2009,Gujarat,Health,Primary Business is Development and Manufacturing of Novel Healthcare Products in Effervescent forms using imported propriety ingredients.,Morgan Stanley Private Equity Asia,22000000.0,Series C,2021
1312,moEVing,2021,Gurugram,Others,MoEVing is India's only Electric Mobility focused Technology Platform with a vision to accelerate EV adoption in India., Dr Srihari Raju Kalidindi,5000000.0,Seed,2021
1313,Pristyn Care,2018,Gurugram,Hospitality,A new age health tech company that aims to simplify the surgery journey of a patient by offering care at every step., Abhiraj Singh Bhal,96000000.0,Series E,2021
1314,Plix,2018,Mumbai,Health,Plant-based nutraceutical firm, RPSG Capital Ventures,5000000.0,Series A,2021
1315,Uni Cards,2020,Bangalore,Financial,"Uni Card splits your payments into 3 parts, over 3 months, at 0 extra costs.", Elevation Capital,70000000.0,Series A,2021
1316,Practically,2018,Hyderabad,Technology,An experiential learning app for grades 6th to 12th., Earlsfield Capital,5000000.0,Venture - Series Unknown,2021
1317,Nestasia,2018,Kolkata,Commerce,"Artisanal, Handmade, bio conscious crafts from South East Asia.", Sahil Barua,4000000.0,Series A,2021
1318,Vedic Cosmeceuticals,2002,Noida,Beauty and Fashion,One of india’s most trusted and technologically advanced white label manufacturer in the personal care space,Sixth Sense Ventures,32000000.0,Series A,2021
1319,JusPay,2012,Bangalore,Technology,Enable frictionless payments for the billion Indians.,SoftBank Vision Fund 2,60000000.0,Series C,2021
1320,TranZact,2017,Information Technology & Services,Others,A mission to digitize millions of Indian SMEs so they can grow better., Prime Venture Partners,7000000.0,Series A,2021
1321,Atomberg,2012,Mumbai,Commerce,Atomberg has built the ‘Brushless DC Motor’ (BLDC) technology for ceiling fans in India and has continuously innovated and improved on the technology.,Jungle Ventures,20000000.0,Venture - Series Unknown,2021
1322,Ola,2010,Bangalore,Transport,"Ola is India’s largest mobility platform and one of the world’s largest ride-hailing companies, serving 250+ cities across India, Australia, New Zealand, and the UK",Marquee international institutional investors,500000000.0,Venture - Series Unknown,2021
1323,Mohalla Tech,2015,Bangalore,Media and Entertainment,"Mohalla Tech Pvt. Ltd. is a computer software company based out of Bengaluru, India.",Alkeon Capital,266000000.0,Series G,2021
1324,Stack,2020,Bangalore,Financial,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers, Harvard Management,4500000.0,Seed,2021
1325,PropReturns,2020,Mumbai,Real,PropReturns is a platform for users to invest in Indian Real Estate backed by data., ﻿Goodwater Capital,1200000.0,Venture - Series Unknown,2021
1326,WeSkill,2020,Gurugram,Technology,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home., Umang Vohra,4000000.0,Pre-seed,2021
1327,Fitpage,2020,Mumbai,Health,"An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.", Gaurav Jaitly,300000.0,Venture - Series Unknown,2021
1328,ShopMyLooks,2021,Noida,Digital,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content., Collective Artists Network,200000.0,Venture - Series Unknown,2021
1329,ByteLearn,2021,Noida,Technology,AI powered teaching assistant for 100 Mn teachers across the world, Nishant Sinha,9500000.0,Seed,2021
1330,Dista,2017,Pune,Technology,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,Pentathlon Ventures,1200000.0,Seed,2021
1331,OfBusiness,2015,Gurugram,Financial,"OfBusiness is a new age commerce and fintech start up, and is technologically driven to provide smart procurement and smart financing to SMEs.", SoftBank Vision Fund II,325000000.0,Venture - Series Unknown,2021
1332,Bizongo,2015,Mumbai,Commerce,izongo is India’s largest B2B platform for made-to-order products.,Tiger Global,100000000.0,Series D,2021
1333,FRND,2019,Bangalore,Media and Entertainment,FRND is an audio dating app for Bharat,KRAFTON,6500000.0,Series A,2021
1334,Metadome,2017,Bangalore,Technology,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.", Lenskart Vision Fund,4000000.0,Pre-series A,2021
1335,Keka HR,2014,Information Technology & Services,Others,Keka is a simple and intuitive HR software unlike the traditional HR systems.,Recur Club,1600000.0,Venture - Series Unknown,2021
1336,The Gourmet Jar,2012,Food & Beverages,Others,"The Gourmet Jar offers a range of premium condiments in unique flavour combinations, that are handmade in small batches, from scratch, using all-natural ingredients and no preservatives or additives.",DevX Venture Fund,150000.0,Venture - Series Unknown,2021
1337,Flo Mobility,2019,Bangalore,Agriculture,"An autonomous tech stack that can be applied to agri-bots, delivery bots, two wheelers and other use cases where compact bots need to navigate in crowded, unstructured environments.", Blume Founder Fund,400000.0,Venture - Series Unknown,2021
1338,Yodacart,2019,Thane,Commerce,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,Ajith Daneil,225000.0,Pre-seed,2021
1339,TheHouseMonk,2019,Bangalore,Real,A complete property management software platform for team&customers.,Aurum Proptech,5000000.0,Venture - Series Unknown,2021
1340,Zepto,2021,Bangalore,Commerce,"Ability to consistently deliver 2,500+ products in 10 minutes flat.",Y Combinator,100000000.0,Venture - Series Unknown,2021
1341,Sirona Hygiene,2015,New Delhi,Health,"An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",The Good Glamm Group,10000000.0,Venture - Series Unknown,2021
1342,Jumbotail,2015,Bangalore,Commerce,"Jumbotail is India's leading B2B marketplace and New Retail platform, serving thousands of mom & pop stores",Invus,85000000.0,Series C,2021
1343,Captain Fresh,2019,Bangalore,Transport,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry., Prosus Ventures,40000000.0,Series B,2021
1344,Deciwood,2018,New Delhi,Commerce,"Deciwood makes Eco-friendly wooden speakers using latest technology of Energy tube to enhance sound quality, all products are handmade by skilled people of the industry.", Arun Gupta,200000.0,Venture - Series Unknown,2021
1345,Kohbee,2019,Bangalore,Technology,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.", Saurabh Aggarwal,235000.0,Pre-seed,2021
1346,Perfora,2021,Gurugram,Commerce,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.",Sauce vc,260000.0,Pre-seed,2021
1347,Unbox Robotics,2019,Pune,Transport,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital., Sixth Sense Ventures,7000000.0,Series A,2021
1348,Ninety One,2015,Ahmedabad,Commerce,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.",A91 Partners,30000000.0,Series A,2021
1349,Gobillion,2020,New Delhi,Commerce,Redefining social commerce for Tier 2+ cities in India - making e-commerce SOCIAL!, Pioneer Fund,2900000.0,Seed,2021
1350,RIPPLR,2019,Bangalore,Transport,India’s first Plug-n-Play distribution ecosystem for brands, Stride Ventures,12000000.0,Pre-series B,2021
1351,SK Finance,1994,Jaipur,Financial,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr., Norwest Venture Partners,53000000.0,Series F,2021
1352,Eggoz,2017,Food & Beverages,Others,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers., Avaana Capital,3500000.0,Series A,2021
1353,Fabriclore,2016,Jaipur,Beauty and Fashion,"India's top brand of artisanal & contemporary fabrics, offering the largest catalog of both curated & original designs.", Mulberry Silks,700000.0,Pre-series A,2021
1354,Veefin,2010,Information Technology & Services,Others,"Veefin is the world leader in contextual SCF and digital lending solution adopting user-led design, data and analytics, built by bankers for bankers.",Rajesh Rajendran,3000000.0,Venture - Series Unknown,2021
1355,Verandah,2011,Mumbai,Beauty and Fashion,Verandah is a conscious luxury travel brand retailing amongst the luxury resort wear space with design roots., Neeraj Arora,1000000.0,Seed,2021
1356,Karkinos Healthcare,2020,Mumbai,Hospitality,"Medical center for treatment of complex cancers; and research center which leverages technologies such as genomics, synthetic biology, sensors, and AI to analyze data and leading to the development of  affordable cancer interventions.",Reliance Digital Health,3000000.0,Venture - Series Unknown,2021
1357,OWO Technologies,2020,Food & Beverages,Others,An ecommerce startup offering online beverages and packaged drinking water,Inflection Point Ventures,3000000.0,Seed,2021
1358,EsportsXO,2020,Bangalore,Technology,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,We Founder Circle,1100000.0,Seed,2021
1359,Zorgers,2013,Mohali,Hospitality,Zorgers Home Healthcare is India’s most trusted Home Healthcare Service Provider. Recognized by the Govt of India.,Ritu Marya Family Office.,3000000.0,Venture - Series Unknown,2021
1360,BangDB,2015,Bangalore,Technology,A Converged NoSQL Data Platform for Predictive and Real-Time analytics for Operational Intelligence,Ten Innovate,3000000.0,Venture - Series Unknown,2021
1361,Neobank Jupiter,2019,Mumbai,Finance,Jupiter is a digital banking app with one simple aim – to deliver a banking experience that keeps pace with you., Sequoia Capital,86000000.0,Series C,2021
1362,Skippi Ice Pops,2021,Hyderabad,Food & Beverage,India's First Icepops Brand,Shark Tank India,130000.0,Venture - Series Unknown,2021
1363,Glii,2020,Noida,Media and Entertainment,India’s finest dating companionship application,We Founder Circle,10000.0,Seed,2021
1364,GlobalBees,2021,New Delhi,Commerce,Globalbees partners with entrepreneurs who have built an online-first business., Steadview Capital,111000000.0,Series B,2021
1365,Mamaearth,2016,Gurugram,Health,Baby and mother care brand,Sequoia,37000000.0,Venture - Series Unknown,2021
1366,SecureNow,2011,Gurugram,Finance,SecureNow is an award winning tech-enabled insurance intermediary.,Apis Insurtech Fund I,6000000.0,Series B,2021
1367,Vendor Infra,2019,Gurugram,Real Estate,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities", Sanjeev Gupta,265000.0,Venture - Series Unknown,2021
1368,Hakuna Matata,2006,Information Technology & Services,Others,Hakuna Matata Solutions is a leading Digital Transformation Company offering a full spectrum of technology solutions and services for enterprises across different industry verticals all over the globe.,Hardcastle Petrofer,1000000.0,Venture - Series Unknown,2021
1369,OneCard,2019,Pune,Financial,"India's finest and smartest metal credit card, reimagined for the mobile generation.", QED Fund,76000000.0,Venture - Series Unknown,2021
1370,Doubtnut,2016,Gurugram,Education,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.", Tencent Holdings,30000000.0,Series B,2021
1371,Hubhopper,2015,New Delhi,LifeStyle,"Hubhopper is India's leading podcast hosting, creation & distribution platform. Getting podcast across both Indian & global audio platforms", Unit-E Ventures,3000000.0,Venture - Series Unknown,2021
1372,Infra.Market,2016,Thane,Real Estate,Infra.Market is an online procurement marketplace for every category of materials and products needed for building projects., Nexus Venture Partners,100000000.0,Series C,2021
1373,Comofi Medtech,2017,Bangalore,Technology,"Comofi Medtech develops healthcare products using artificial intelligence, augmented reality and IoT technologies",CIIE.CO,200000.0,Venture - Series Unknown,2021
1374,Battery Smart,2019,New Delhi,Manufacturing,Battery Smart provides advanced Li-ion batteries to e-rickshaws.,Orios Venture Partners,3000000.0,Seed,2021
1375,Kutuki,2017,Bangalore,Education,Kutuki is a learning platform focused on children between the ages of three and seven.,Omidyar Network India,2000000.0,Seed,2021
1376,Onelife,2019,Mumbai,Technology,"Aspire to leverage the gifts of nature and science to help you make holistic lifestyle changes, with minimalistic effort, improving overall well-being.",Wipro venture capital arm,3000000.0,Venture - Series Unknown,2021
1377,Eupheus,2017,New Delhi,Education,Eupheus Learning offers a seamless integrated learning solution for the K-12 market in India., Sixth Sense Ventures,4000000.0,Series B,2021
1378,KreditBee,2018,Bangalore,Technology,KreditBee is an Instant Personal Loan Platform for Young Professionals., Alpine Capital,75000000.0,Series C,2021
1379,Pencil,2019,Mumbai,Media and Entertainment,Pencil is a content publishing platform that enables writers to publish their work for free., SucSEED Venture Partners,1000000.0,Pre-series A,2021
1380,Aisle,2014,Bangalore,Media and Entertainment,Aisle connects the new generation of single independent Indians from around the world looking for meaningful relationships., Vinod Jose,3000000.0,Pre-series A,2021
1381,Marquee Equity,2016,Mumbai,Technology,The World's #1 Fundraising Service - Investor Meetings + Deal Documents - Globally, Arrowroot Capital,3800000.0,Venture - Series Unknown,2021
1382,UptimeAI,2016,Bangalore,Technology,"Enable true digital transformation with AI driven insights, to enable manufacturers stay ten steps ahead of process inefficiencies and equipment failures",YourNest Venture Capital,1500000.0,Seed,2021
1383,WizKlub,2018,Bangalore,Education,Wizklub uses a unique method of developing and nurturing Higher Order Thinking Skills in children,Incubate Fund India,800000.0,Pre-series A,2021
1384,Zolve,2020,Bangalore,Technology,Zolve Innovations operates as a neo-banking startup., Greg Kidd,15000000.0,Seed,2021
1385,MediBuddy,2000,Bangalore,Education,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.", TEAMFund,3000000.0,Debt,2021
1386,Pariksha,2015,Pune,Education,"Pariksha - The Sucess App, India's largest vernacular test preparation company for the mobile 1st internet users of India.", 9Unicorns Accelerator Fund,2000000.0,Pre-series A,2021
1387,Express Stores,2019,Gurugram,Commerce,Express Stores is a retail and omnichannel startup company, Rohit Bansal,1000000.0,Seed,2021
1388,Avataar Ventures,2019,Bangalore,Technology,Avataar Venture Partners is a growth Capital Investment Firm.,Inflection Point Ventures,100000000.0,Venture - Series Unknown,2021
1389,Zingbus,2019,Haryana,Transport,Zingbus is an emerging brand in the intercity bus services., 9Unicorns Accelerator Fund,3000000.0,Pre-series A,2021
1390,Phable,2017,Bangalore,Technology,Mobile App for Patients and Doctors, Social Starts,12000000.0,Series A,2021
1391,Codingal,2020,Bangalore,Education,Coding education platform for K-12 students, Rebright Partners,3000000.0,Venture - Series Unknown,2021
1392,Supply6,2018,Bangalore,Health,Supply6 is a food supplement brand that claims to provide nutritional supplements in drinkable forms such as smoothies., India CXO Fund,100000.0,Seed,2021
1393,Swajal,2015,Gurugram,Government,Swajal uses clean solar energy to purify drinking water at an affordable rate., ACPL Exports,1600000.0,Pre-series A,2021
1394,BharatPe,2018,New Delhi,Technology,BharatPe develops a QR code-based payment app for offline retailers and businesses., Insight Partners,100000000.0,Series D,2021
1395,Filo,2020,New Delhi,Education,Instant learning platform for students while self study.,Better Capital,260000.0,Pre-seed,2021
1396,Method & Madness,2020,Mumbai,Real,Method & Madness Technology operates as a real-estate tech company.,Justin Mateen,2000000.0,Seed,2021
1397,EduFund,2020,Gujarat,Technology,Changing the way Indians evaluate and plan higher education,View Trade Holding Corp,300000.0,Pre-seed,2021
1398,Pepperfry,2011,Mumbai,Commerce,Pepperfry is an online home and lifestyle shopping store selling products with cash on delivery facilities., Bertelsmann India Investments,30000000.0,Debt,2021
1399,Zingavita,2020,Chandigarh,Technology,"Explore a range of kids nutrition supplements formulated using highest quality ingredients, that are Deliciously Healthy and super fun to consume.",Anicut Angel Fund,400000.0,Venture - Series Unknown,2021
1400,Hypd Store,2020,New Delhi,Commerce,"A shop worthy content platform, personalized!",ScoopWhoop,3000000.0,Pre-seed,2021
1401,VerSe Innovation,2007,Bangalore,Innovation,Owner of Dailyhunt App and I-Pay, Glade Brook Capital Partners,1000000000.0,Series H,2021
1402,Supersourcing,2020,Indore,Technology,Build your next app or website with our exclusive network of certified IT companies., Dr Ritesh Malik,200000.0,Seed,2021
1403,AutomataPi,2017,Powai,Manufacturing,AutomataPi is a next generation cognitive business process automation engine.,Indian Angel Network,400000.0,Seed,2021
1404,Newton School,2019,Bangalore,Education,Newton School is a platform to learn and develop skills that you need for your best Tech career., Harshil Mathur,5000000.0,Series A,2021
1405,TenderCuts,2011,Chennai,Food & Beverage,"TenderCuts is an online meat shop that delivers antibiotic-free, hygienic, and farm fresh chicken, free range goat, and seafood.", NABVENTURES,15000000.0,Venture - Series Unknown,2021
1406,Siply,2020,Bangalore,Technology,Siply Services operates as a micro-savings platform.,Inflection Point Ventures,1000000.0,Seed,2021
1407,SarvaGram,2019,Mumbai,Technology,SarvaGram provides livelihood upgradation for aspiring households based in rural and semi-urban India.,Elevation Capital,10000000.0,Series B,2021
1408,Unlu,2020,Gurugram,Media and Entertainment,Personalised Video Shoutout from top celebrities,EXPERT DOJO,1000000.0,Seed,2021
1409,GlobalFair,2020,Gurugram,Finance,One-stop solution for all your procurement needs, India Quotient,2000000.0,Seed,2021
1410,Eduvanz,2016,Mumbai,Technology,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.", Northern Arc Capital,10000000.0,Debt,2021
1411,OwO,2020,Gurugram,Commerce,"Shop packaged drinking water, beverages from your favorite brands i.e. Kinley, Bisleri, Aquafina, Coca-cola, Pepsi etc",Ah! Ventures,200000.0,Venture - Series Unknown,2021
1412,Progcap,2017,New Delhi,Technology,Progcap is a financial service company that provides financial opportunities for micro and small businesses in the last mile., M V Nair,1000000.0,Debt,2021
1413,ABL Workspaces,2017,New Delhi,Hospitality,ABL Workspaces is a co-working space where professionals from all walks of life come to work under one roof.,Wurk,600000.0,Pre-series A,2021
1414,Nazara Technologies,2000,Mumbai,Manufacturing,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.", Turtle Entertainment,10000000.0,Venture - Series Unknown,2021
1415,Scentials,2018,Mumbai,Personal,Scentials is building a unique beauty brands studio platform, Goutham Ekollu,6000000.0,Venture - Series Unknown,2021
1416,SplashLearn,2018,Gurugram,Education,SplashLearn is an EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five., Owl Ventures,18000000.0,Series C,2021
1417,Maya,2016,Bangalore,Technology,Maya enables women to keep track of their health via a mobile application.,Rajan Anadan,2200000.0,Seed,2021
1418,GoTo,2020,Ghaziabad,Transport,Real Time Intercity City Transit Platform For 1.25 Bn People In India,Jesse Lucas,150000.0,Venture - Series Unknown,2021
1419,MediBuddy,2000,Bangalore,Technology,MediBuddy is a Trusted Digital Platform for Cashless Healthcare. MediBuddy connects patients with doctors and hospitals., Bessemer Venture Partners,40000000.0,Series B,2021
1420,Zetwerk,2018,Bangalore,Commerce,Zetwerk is an online marketplace that connects buyers and suppliers for manufacturing jobs., Accel,120000000.0,Series D,2021
1421,Remedico,2017,Hyderabad,Technology,Remedico is a Mobile healthcare, Tahseen Consulting,500000.0,Venture - Series Unknown,2021
1422,PrepBytes,2019,Gurugram,Education,PrepBytes helps college students to learn coding by personalizing their content along with the guidance of expert mentors from industry,Equanimity Ventures,3000000.0,Venture - Series Unknown,2021
1423,SATYA Microcapital,2017,New Delhi,Technology,Satya MicroCapital is a micro finance company based on a group lending model that allows borrowers to share liability., Gojo & Company,20000000.0,Venture - Series Unknown,2021
1424,YourPhysio,2020,Nagpur,Technology,YourPhysio is a healthcare company on a mission to deliver 10x better patient experience in the domain of physiotherapy., Titan Capital,350000.0,Pre-seed,2021
1425,Aviom Housing Finance,2016,New Delhi,Technology,AVIOM India is an Affordable Housing Finance company facilitating families in mostly semi urban areas in realising their dream of owning their first home.,Gojo & Company,1000000.0,Debt,2021
1426,Hemp Horizons,2017,Noida,Health,Cannabis and Hemp company,Mumbai Angels,200000.0,Seed,2021
1427,MPL,2018,Bangalore,Manufacturing,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games., Base Partners,95000000.0,Venture - Series Unknown,2021
1428,Koo,2020,Bangalore,Media and Entertainment,Koo App operates as a microblogging app., Accel,4100000.0,Series A,2021
1429,InnerHour,2016,Mumbai,Technology,InnerHour is mental health and wellness platform that provides therapy and diagnostics services and conducts online mental health workshops., Lightbox,5200000.0,Series A,2021
1430,Origo,2010,Gurugram,Agriculture,"Origo Commodities, a complete post-harvest management financial solution for agricultural commodities.",YES Bank,10000000.0,Debt,2021
1431,ExMyB,2018,Gurugram,Business Intelligence,ExMyB provides financial service and consulting services.,Campus Fund,3000000.0,Seed,2021
1432,Elucidata,2015,New Delhi,Agriculture,Elucidata Corporation uses data analytics to transform decision-making processes in R&D labs in biotechnology and pharmaceutical companies.,Hyperplane Venture Capital,5000000.0,Pre-series A,2021
1433,Saveo,2019,Bangalore,Technology,Saveo operates a business-to-business e-commerce platform focused on pharmacies., RTP Global,4000000.0,Seed,2021
1434,Qin1,2019,Noida,Education,Re-imagining Kids of 21st Century!,Venture Catalysts,3000000.0,Pre-series A,2021
1435,DotPe,2019,Gurugram,Technology,"DotPe is an innovative offline technology platform digitising merchant's customer engagement with mobile discovery, ordering and payments.", Ruizheng Investment,8000000.0,Seed,2021
1436,Taskmo,2018,Bangalore,Commerce,Gig Economy Platform | Task Fulfillment Platform | New-age fulfillment solutions,Quess Corp India,1400000.0,Venture - Series Unknown,2021
1437,MasterMentors,2019,West Bengal,Education,India's first online platform for mentors enabling them to translate their expertise into a profitable online course,Inflection Point Ventures,1500000.0,Venture - Series Unknown,2021
1438,KIKO TV,2020,Mumbai,Commerce,KIKO TV is an AI-based short live video e-commerce platform., 9Unicorns Accelerator Fund,3000000.0,Pre-series A,2021
1439,Quali55Care,2018,Mumbai,Health,Deliver highly durable & affordable medical equipments on rental and sale.,India Accelerator’s Angel Investor Network,3000000.0,Seed,2021
1440,Ruptok,2020,New Delhi,Technology,Ruptok operates as a fintech platform for gold loans,Wurk,10000000.0,Venture - Series Unknown,2021
1441,RevFin,2018,New Delhi,Technology,RevFin is a digital lending company.,Shell Foundation,3000000.0,Venture - Series Unknown,2021
1442,SeeVC,2020,New Delhi,Technology,Leverages artificial intelligence (AI) to build products for the education sector,Jimmy Singh,1000000.0,Seed,2021
1443,Junio,2020,New Delhi,Education,Junio is a kids-focused digital pocket money-smart card., Deepak Abbot,1000000.0,Venture - Series Unknown,2021
1444,VenWiz,2020,Bangalore,Commerce,Digitising the interactions between core industry and vendors for engineering services, Nexus Venture,300000.0,Seed,2021
1445,Vista Rooms,2015,Mumbai,Hospitality,"Vista Rooms is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""", Artha India Ventures,1000000.0,Venture - Series Unknown,2021
1446,Makers Hive,2018,Hyderabad,Technology,"Makers Hive has made it possible to bring the people with amputations together by developing a fully functional, customizable", Investpad,9000000.0,Venture - Series Unknown,2021
